binned_lat,binned_lon,type,subtype,count
41.95,-87.7,JAM,JAM_HEAVY_TRAFFIC,543
41.71,-87.61,JAM,JAM_HEAVY_TRAFFIC,542
41.73,-87.57,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,542
41.87,-87.7,JAM,JAM_HEAVY_TRAFFIC,538
41.92,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,538
41.97,-87.72,JAM,JAM_STAND_STILL_TRAFFIC,536
41.92,-87.65,JAM,JAM_HEAVY_TRAFFIC,533
41.98,-87.83,JAM,JAM_STAND_STILL_TRAFFIC,532
41.82,-87.71,JAM,JAM_HEAVY_TRAFFIC,527
41.97,-87.69,JAM,JAM_HEAVY_TRAFFIC,521
41.83,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,521
41.99,-87.79,JAM,JAM_STAND_STILL_TRAFFIC,518
41.99,-87.72,JAM,JAM_HEAVY_TRAFFIC,516
41.84,-87.67,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,515
41.88,-87.65,HAZARD,HAZARD_ON_ROAD,514
41.92,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,504
41.89,-87.63,JAM,JAM_HEAVY_TRAFFIC,502
41.72,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,501
41.87,-87.72,JAM,JAM_STAND_STILL_TRAFFIC,500
41.99,-87.77,JAM,JAM_HEAVY_TRAFFIC,498
41.92,-87.7,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,498
41.81,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,497
41.8,-87.64,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,495
41.85,-87.62,JAM,JAM_STAND_STILL_TRAFFIC,494
41.89,-87.67,JAM,JAM_HEAVY_TRAFFIC,494
41.93,-87.69,JAM,JAM_STAND_STILL_TRAFFIC,493
41.99,-87.68,JAM,JAM_STAND_STILL_TRAFFIC,493
41.88,-87.63,JAM,JAM_HEAVY_TRAFFIC,492
41.92,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,492
41.88,-87.64,JAM,JAM_HEAVY_TRAFFIC,491
41.71,-87.6,JAM,JAM_HEAVY_TRAFFIC,490
41.97,-87.7,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,490
41.93,-87.67,JAM,JAM_HEAVY_TRAFFIC,485
41.95,-87.67,JAM,JAM_HEAVY_TRAFFIC,483
41.93,-87.69,JAM,JAM_HEAVY_TRAFFIC,479
41.87,-87.64,JAM,JAM_HEAVY_TRAFFIC,479
41.99,-87.7,JAM,JAM_HEAVY_TRAFFIC,478
41.99,-87.71,JAM,JAM_HEAVY_TRAFFIC,477
41.76,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,477
41.87,-87.65,HAZARD,HAZARD_ON_ROAD,476
41.99,-87.79,JAM,JAM_HEAVY_TRAFFIC,476
41.96,-87.75,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,476
41.96,-87.69,JAM,JAM_HEAVY_TRAFFIC,470
41.68,-87.61,JAM,JAM_HEAVY_TRAFFIC,469
41.78,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,469
41.85,-87.65,HAZARD,HAZARD_ON_ROAD_POT_HOLE,464
41.66,-87.59,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,462
41.83,-87.69,JAM,JAM_STAND_STILL_TRAFFIC,462
41.87,-87.63,JAM,JAM_HEAVY_TRAFFIC,461
41.93,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,458
41.96,-87.73,JAM,JAM_HEAVY_TRAFFIC,457
41.91,-87.69,JAM,JAM_STAND_STILL_TRAFFIC,452
41.91,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,450
41.87,-87.65,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,447
41.98,-87.84,JAM,JAM_STAND_STILL_TRAFFIC,447
41.89,-87.66,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,445
41.85,-87.62,JAM,JAM_HEAVY_TRAFFIC,443
41.88,-87.67,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,442
41.99,-87.76,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,442
41.95,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,441
41.96,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,441
41.71,-87.62,JAM,JAM_HEAVY_TRAFFIC,440
41.87,-87.69,JAM,JAM_STAND_STILL_TRAFFIC,440
41.86,-87.62,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,435
41.73,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,434
41.98,-87.88,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,433
41.9,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,428
41.95,-87.75,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,428
41.99,-87.76,JAM,JAM_STAND_STILL_TRAFFIC,427
41.69,-87.6,JAM,JAM_STAND_STILL_TRAFFIC,424
41.82,-87.73,JAM,JAM_STAND_STILL_TRAFFIC,423
41.82,-87.72,HAZARD,HAZARD_ON_ROAD_POT_HOLE,422
41.9,-87.71,JAM,JAM_HEAVY_TRAFFIC,421
41.94,-87.74,JAM,JAM_STAND_STILL_TRAFFIC,420
41.74,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,420
41.97,-87.71,JAM,JAM_HEAVY_TRAFFIC,419
41.89,-87.66,HAZARD,HAZARD_ON_ROAD,419
41.84,-87.62,JAM,JAM_STAND_STILL_TRAFFIC,418
41.87,-87.71,JAM,JAM_STAND_STILL_TRAFFIC,416
41.9,-87.65,JAM,JAM_HEAVY_TRAFFIC,415
41.75,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,415
41.96,-87.73,JAM,JAM_STAND_STILL_TRAFFIC,415
41.71,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,414
41.86,-87.65,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,413
41.98,-87.85,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,411
41.86,-87.65,HAZARD,HAZARD_ON_ROAD,410
41.92,-87.71,JAM,JAM_STAND_STILL_TRAFFIC,408
41.93,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,408
41.99,-87.66,JAM,JAM_STAND_STILL_TRAFFIC,408
41.88,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,407
41.86,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,407
41.94,-87.69,JAM,JAM_HEAVY_TRAFFIC,407
41.84,-87.64,HAZARD,HAZARD_ON_ROAD,406
41.88,-87.62,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,401
41.85,-87.65,HAZARD,HAZARD_ON_ROAD,398
41.87,-87.7,JAM,JAM_STAND_STILL_TRAFFIC,397
41.98,-87.67,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,392
41.96,-87.69,JAM,JAM_STAND_STILL_TRAFFIC,392
41.96,-87.67,JAM,JAM_HEAVY_TRAFFIC,391
41.97,-87.7,JAM,JAM_HEAVY_TRAFFIC,388
41.94,-87.67,JAM,JAM_HEAVY_TRAFFIC,381
41.87,-87.68,HAZARD,HAZARD_ON_ROAD_POT_HOLE,380
41.99,-87.66,JAM,JAM_HEAVY_TRAFFIC,378
